total_runs,balls_faced,fours,sixes,innings_played,strike_rate,batting_average,balls_bowled,runs_conceded,wickets,matches_bowled,overs_bowled,economy_rate,bowling_average,player,batting_score,bowling_score,performance_score,auction_value_lakhs,predicted_value,value_ratio
280.0,196.0,16.0,15.0,23.0,142.85714285714286,12.173913043478262,270.0,400.0,18.0,20.0,45.0,8.88888888888889,22.22222222222222,A Ashish Reddy,397.42857142857144,442.22222222222223,839.6507936507937,1368.9921255390236,1018.74502888996,0.8242011198481036
4.0,7.0,0.0,0.0,2.0,57.14285714285714,2.0,234.0,245.0,11.0,12.0,39.0,6.282051282051282,22.272727272727273,A Chandila,32.57142857142857,307.43589743589746,340.007326007326,479.5263649333879,506.02940978139077,0.6719121842230715
53.0,75.0,7.0,0.0,6.0,70.66666666666667,8.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A Chopra,95.33333333333334,100.0,195.33333333333334,435.8028886424195,373.6911112362954,0.5227133519100983
62.0,57.0,5.0,2.0,3.0,108.77192982456141,20.666666666666668,66.0,106.0,2.0,3.0,11.0,9.636363636363637,53.0,A Flintoff,125.38596491228071,120.72727272727272,246.11323763955343,704.9687014126478,611.6263353384007,0.40239149856649625
35.0,49.0,3.0,0.0,15.0,71.42857142857143,2.3333333333333335,983.0,1089.0,45.0,42.0,163.83333333333334,6.646998982706002,24.2,A Kumble,73.71428571428572,986.706002034588,1060.4202877488738,1539.004107659145,1674.4336492678212,0.6333008705436391
291.0,326.0,25.0,3.0,43.0,89.2638036809816,6.767441860465116,2466.0,2960.0,124.0,112.0,411.0,7.201946472019465,23.870967741935484,A Mishra,366.6319018404908,2565.596107055961,2932.2280088964517,4346.719309184533,3868.5349291625894,0.7579686011859748
34.0,26.0,4.0,1.0,6.0,130.76923076923077,5.666666666666667,312.0,477.0,7.0,16.0,52.0,9.173076923076923,68.14285714285714,A Mithun,105.38461538461539,221.65384615384616,327.03846153846155,838.7438011693625,720.201704706356,0.45409287342884475
19.0,23.0,1.0,0.0,2.0,82.6086956521739,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A Mukund,61.30434782608695,100.0,161.30434782608694,411.1611466795683,325.6152108285874,0.4953833311890392
41.0,63.0,3.0,1.0,17.0,65.07936507936508,2.411764705882353,1842.0,2339.0,98.0,82.0,307.0,7.618892508143323,23.867346938775512,A Nehra,78.53968253968253,2044.7622149837134,2123.301897523396,3081.4427569268128,2982.9165161955584,0.7118207586417726
0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,31.0,1.0,1.0,3.0,10.333333333333334,31.0,A Nel,0.0,99.33333333333333,99.33333333333333,268.6240738075058,205.26583262901096,0.4839253180185341
2.0,10.0,0.0,0.0,5.0,20.0,0.4,486.0,639.0,28.0,23.0,81.0,7.888888888888889,22.821428571428573,A Singh,12.0,644.2222222222222,656.2222222222222,882.1586285351193,932.5286738205598,0.7037019242890269
974.0,781.0,74.0,41.0,36.0,124.71190781049937,27.055555555555557,540.0,694.0,20.0,30.0,90.0,7.711111111111111,34.7,A Symonds,1192.3559539052496,484.5777777777778,1676.9337316830274,2412.7161277150485,1911.12163576299,0.8774604924680965
4.0,7.0,0.0,0.0,2.0,57.14285714285714,2.0,38.0,67.0,2.0,2.0,6.333333333333333,10.578947368421053,33.5,A Uniyal,32.57142857142857,118.84210526315789,151.41353383458647,280.4683365584659,250.25111205417386,0.6050463975632955
0.0,1.0,0.0,0.0,1.0,0.0,0.0,103.0,117.0,12.0,5.0,17.166666666666668,6.815533980582524,9.75,A Zampa,0.0,326.36893203883494,326.36893203883494,67.71183433255266,272.09078011668737,1.199485450770769
69.0,88.0,5.0,0.0,7.0,78.4090909090909,9.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AA Bilakhia,113.20454545454545,100.0,213.20454545454544,20.0,181.66117899563855,1.1736384550254637
12.0,11.0,2.0,0.0,3.0,109.09090909090908,4.0,255.0,339.0,8.0,13.0,42.5,7.976470588235294,42.375,AA Chavan,68.54545454545453,244.04705882352943,312.592513368984,344.9151643776927,514.9083571333035,0.6070837830430815
217.0,218.0,19.0,5.0,15.0,99.54128440366972,14.466666666666667,88.0,130.0,1.0,10.0,14.666666666666666,8.863636363636363,130.0,AA Jhunjhunwala,295.77064220183485,102.27272727272728,398.04336947456216,373.75523601615976,466.17621763880686,0.853847438830451
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,21.0,0.0,1.0,2.1666666666666665,9.692307692307693,21.0,AA Kazi,0.0,80.61538461538461,80.61538461538461,190.2085809932504,276.49675013355795,0.2915599715962103
9.0,12.0,1.0,0.0,1.0,75.0,9.0,25.0,41.0,1.0,1.0,4.166666666666667,9.84,41.0,AA Noffke,47.5,100.32,147.82,21.528123151080763,339.8347589412348,0.4349761056242086
179.0,160.0,13.0,5.0,18.0,111.87499999999999,9.944444444444445,820.0,1174.0,29.0,42.0,136.66666666666666,8.590243902439026,40.48275862068966,AB Agarkar,257.9375,662.8195121951219,920.7570121951219,1069.7496648661609,1444.098995999842,0.6375996484628971
42.0,43.0,5.0,1.0,3.0,97.67441860465115,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AB Barath,97.83720930232558,100.0,197.83720930232556,619.9032306901812,499.36529883276756,0.3961773270284431
19.0,42.0,1.0,0.0,15.0,45.23809523809524,1.2666666666666666,1524.0,1982.0,68.0,72.0,254.0,7.803149606299213,29.147058823529413,AB Dinda,42.61904761904762,1444.3937007874015,1487.0127484064492,2180.739782695736,2233.8711426387276,0.6656663045702524
123.0,103.0,9.0,4.0,9.0,119.41747572815532,13.666666666666666,188.0,263.0,11.0,10.0,31.333333333333332,8.393617021276595,23.90909090909091,AB McDonald,199.70873786407765,303.2127659574468,502.9215038215244,769.2709284924227,751.4196461887808,0.6692951220697447
3270.0,2231.0,275.0,142.0,109.0,146.57104437471986,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AB de Villiers,3902.28552218736,100.0,4002.28552218736,5689.298659842037,5923.131484700878,0.6757043183196326
120.0,91.0,21.0,2.0,7.0,131.86813186813185,17.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AC Blizzard,210.93406593406593,100.0,310.9340659340659,346.3751589374356,333.5664248895059,0.9321503686621428
2069.0,1555.0,239.0,92.0,80.0,133.05466237942122,25.8625,1.0,0.0,1.0,1.0,0.16666666666666666,0.0,0.0,AC Gilchrist,2558.527331189711,120.0,2678.527331189711,4042.247298377793,4340.821783104487,0.6170553561114114
20.0,19.0,1.0,1.0,4.0,105.26315789473684,5.0,327.0,416.0,14.0,15.0,54.5,7.63302752293578,29.714285714285715,AC Thomas,75.63157894736841,364.73394495412845,440.3655239014969,406.7762982441765,545.4725495192819,0.8073101465684854
181.0,143.0,15.0,3.0,7.0,126.57342657342659,25.857142857142858,56.0,76.0,0.0,7.0,9.333333333333334,8.142857142857142,76.0,AC Voges,265.2867132867133,83.71428571428572,349.000999000999,606.3356990793292,539.8082951515094,0.6465276694257617
79.0,79.0,5.0,1.0,11.0,100.0,7.181818181818182,310.0,365.0,19.0,13.0,51.666666666666664,7.064516129032258,19.210526315789473,AD Mascarenhas,136.0,465.8709677419355,601.8709677419355,770.3771512545429,843.1422067460741,0.7138427692580199
692.0,571.0,42.0,28.0,39.0,121.19089316987741,17.743589743589745,776.0,1038.0,27.0,42.0,129.33333333333334,8.025773195876289,38.44444444444444,AD Mathews,850.5954465849387,623.9484536082474,1474.5439001931861,2147.502978254759,2141.308553321937,0.6886181339469457
20.0,27.0,1.0,0.0,3.0,74.07407407407408,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AD Nath,58.03703703703704,100.0,158.03703703703704,104.3907988291617,274.2760526624043,0.5761969938788591
574.0,350.0,48.0,37.0,25.0,164.0,22.96,651.0,917.0,31.0,34.0,108.5,8.451612903225806,29.580645161290324,AD Russell,778.0,703.0967741935484,1481.0967741935483,2630.0369418410087,2271.6823968879694,0.6519823265006311
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,44.0,1.0,1.0,4.166666666666667,10.559999999999999,44.0,AF Milne,0.0,98.88,98.88,145.3441210584257,168.4064363122448,0.5871509555410647
10.0,14.0,1.0,0.0,3.0,71.42857142857143,3.3333333333333335,269.0,322.0,9.0,12.0,44.833333333333336,7.182156133828996,35.77777777777778,AG Murtaza,46.714285714285715,265.63568773234203,312.34997344662776,235.320005753908,610.9573792926677,0.511246748190928
49.0,61.0,9.0,0.0,5.0,80.32786885245902,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AG Paunikar,98.1639344262295,100.0,198.1639344262295,478.6012639418948,431.35388166863913,0.45939991002203767
1304.0,1080.0,145.0,40.0,51.0,120.74074074074075,25.568627450980394,44.0,67.0,1.0,5.0,7.333333333333333,9.136363636363637,67.0,AJ Finch,1589.3703703703704,101.72727272727272,1691.0976430976432,2267.473876989042,2275.7138365384976,0.7431064556297237
401.0,367.0,24.0,18.0,23.0,109.26430517711172,17.434782608695652,113.0,144.0,3.0,12.0,18.833333333333332,7.646017699115045,48.0,AL Menaria,515.6321525885559,144.7079646017699,660.3401171903258,1036.560588822569,1018.1206862054221,0.6485872707796958
672.0,588.0,55.0,20.0,50.0,114.28571428571428,13.44,239.0,323.0,9.0,19.0,39.833333333333336,8.10878661087866,35.888888888888886,AM Nayar,824.1428571428571,263.78242677824267,1087.9252839211,1199.8182843577886,1380.0210377961878,0.7883396369510804
2675.0,2274.0,285.0,51.0,89.0,117.63412489006157,30.0561797752809,6.0,5.0,1.0,1.0,1.0,5.0,5.0,AM Rahane,3120.817062445031,110.0,3230.817062445031,4553.386067753671,4974.771709122362,0.6494402660770546
0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,205.0,7.0,7.0,26.0,7.884615384615385,29.285714285714285,AM Salvi,0.0,224.23076923076923,224.23076923076923,379.7502771092662,232.91170970034833,0.9627286215847733
36.0,27.0,4.0,1.0,6.0,133.33333333333331,6.0,362.0,515.0,12.0,17.0,60.333333333333336,8.535911602209945,42.916666666666664,AN Ahmed,108.66666666666666,322.9281767955801,431.5948434622468,810.2099693609841,796.2118310078134,0.5420603244691191
7.0,8.0,1.0,0.0,2.0,87.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AN Ghosh,51.75,100.0,151.75,265.40841615767437,297.64936043814765,0.5098280734640922
34.0,23.0,3.0,1.0,2.0,147.82608695652172,17.0,73.0,114.0,5.0,3.0,12.166666666666666,9.36986301369863,22.8,AP Dole,112.91304347826086,181.26027397260273,294.1733174508636,415.76175006903094,549.0214058550908,0.5358139305929137
87.0,77.0,7.0,2.0,4.0,112.98701298701299,21.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AP Majumdar,154.4935064935065,100.0,254.4935064935065,315.3526753047707,285.55927570646435,0.8912107857953409
321.0,260.0,37.0,11.0,24.0,123.46153846153847,13.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AP Tare,441.7307692307692,100.0,541.7307692307693,486.61043891447514,645.9663774377046,0.8386361707858586
379.0,323.0,23.0,17.0,29.0,117.3374613003096,13.068965517241379,986.0,1218.0,43.0,45.0,164.33333333333334,7.411764705882352,28.325581395348838,AR Patel,494.66873065015477,945.1764705882352,1439.84520123839,2001.0559731247151,2008.2622381370911,0.7169607503918525
2.0,6.0,0.0,0.0,1.0,33.33333333333333,2.0,97.0,138.0,4.0,6.0,16.166666666666668,8.536082474226804,34.5,AS Rajpoot,18.666666666666664,162.9278350515464,181.59450171821305,170.82974669923354,222.5599373576773,0.8159352661317995
194.0,172.0,13.0,7.0,16.0,112.79069767441861,12.125,30.0,45.0,0.0,5.0,5.0,9.0,45.0,AS Raut,277.3953488372093,82.0,359.3953488372093,772.1681800199706,680.7478942109068,0.5279419178428818
49.0,40.0,5.0,2.0,6.0,122.50000000000001,8.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AS Yadav,119.25,100.0,219.25,404.63623623344876,400.62887463153953,0.5472645979440333
2325.0,1884.0,198.0,76.0,100.0,123.4076433121019,23.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AT Rayudu,2736.703821656051,100.0,2836.703821656051,3866.3392242119517,4202.502122360017,0.6750035429043474
39.0,26.0,5.0,2.0,7.0,150.0,5.571428571428571,41.0,63.0,0.0,3.0,6.833333333333333,9.219512195121952,63.0,AUK Pathan,123.0,81.5609756097561,204.5609756097561,378.2957570601445,353.6973012525885,0.5783503998625973
0.0,2.0,0.0,0.0,1.0,0.0,0.0,14.0,29.0,0.0,1.0,2.3333333333333335,12.428571428571427,29.0,Abdur Razzak,0.0,75.14285714285714,75.14285714285714,27.811035504366018,126.52706946271765,0.593887596242784
0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,206.0,8.0,8.0,27.0,7.62962962962963,25.75,Anand Rajan,0.0,244.74074074074073,244.74074074074073,217.86280526218547,291.7419279988404,0.8388946436993229
63.0,69.0,6.0,1.0,4.0,91.30434782608695,15.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anirudh Singh,116.65217391304347,100.0,216.65217391304347,459.84113989579737,394.30250552229865,0.5494567518054773
62.0,53.0,5.0,3.0,9.0,116.98113207547169,6.888888888888889,363.0,426.0,12.0,19.0,60.5,7.041322314049586,35.5,Ankit Sharma,131.49056603773585,325.91735537190084,457.4079214096367,913.4274841986283,842.0631296461972,0.5431990848498758
18.0,31.0,0.0,1.0,6.0,58.06451612903226,3.0,394.0,568.0,17.0,18.0,65.66666666666667,8.649746192893401,33.411764705882355,Anureet Singh,49.03225806451613,422.70050761421317,471.73276567872927,912.9285365215211,901.3473597481446,0.5233640067582173
388.0,311.0,39.0,13.0,21.0,124.7588424437299,18.476190476190474,552.0,707.0,29.0,23.0,92.0,7.684782608695652,24.379310344827587,Azhar Mahmood,515.379421221865,664.6304347826087,1180.0098560044737,1584.9834310249812,1239.876843846398,0.9517153754914863
76.0,57.0,5.0,5.0,11.0,133.33333333333331,6.909090909090909,193.0,246.0,6.0,13.0,32.166666666666664,7.647668393782384,41.0,B Akhil,157.66666666666666,204.70466321243524,362.3713298791019,475.38160205189956,524.8036548068744,0.6904893412231533
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,36.0,0.0,1.0,3.3333333333333335,10.799999999999999,36.0,B Brainder Sran,0.0,78.4,78.4,190.6372271906325,159.86819628505987,0.4904039816662816
280.0,256.0,28.0,7.0,21.0,109.375,13.333333333333334,6.0,20.0,0.0,1.0,1.0,20.0,20.0,B Chipli,376.6875,60.0,436.6875,870.1202224907427,775.2784275265554,0.563265382468084
0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,91.0,1.0,2.0,8.166666666666666,11.142857142857144,91.0,B Geeves,0.0,97.71428571428571,97.71428571428571,40.922708079945764,97.73571407155414,0.9997807520262988
154.0,156.0,15.0,3.0,31.0,98.71794871794873,4.967741935483871,1730.0,2026.0,85.0,76.0,288.3333333333333,7.026589595375723,23.83529411764706,B Kumar,224.35897435897436,1785.9468208092485,2010.3057951682229,2974.524452588481,2914.1337884356662,0.6898467747588808
4.0,9.0,0.0,0.0,2.0,44.44444444444444,2.0,45.0,72.0,1.0,2.0,7.5,9.6,72.0,B Laughlin,26.22222222222222,100.8,127.02222222222221,20.0,131.0951867838994,0.9689312425452266
124.0,102.0,8.0,8.0,19.0,121.56862745098039,6.526315789473684,916.0,1126.0,25.0,38.0,152.66666666666666,7.3755458515283845,45.04,B Lee,208.7843137254902,585.2489082969432,794.0332220224334,927.3092366154378,1463.256042440849,0.5426481757067692
35.0,38.0,3.0,0.0,4.0,92.10526315789474,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B Sumanth,84.05263157894737,100.0,184.05263157894737,455.22529273173865,434.1070112111766,0.4239798640096433
6.0,7.0,0.0,1.0,2.0,85.71428571428571,3.0,303.0,408.0,12.0,15.0,50.5,8.07920792079208,34.0,BA Bhatt,50.857142857142854,323.84158415841586,374.6987270155587,861.0729803883513,746.9322464239792,0.5016502217027987
3.0,6.0,0.0,0.0,3.0,50.0,1.0,248.0,306.0,8.0,10.0,41.333333333333336,7.403225806451612,38.25,BAW Mendis,28.0,245.19354838709677,273.19354838709677,393.9134731873881,393.0326305638102,0.6950912650565355
2435.0,1954.0,248.0,106.0,92.0,124.61617195496417,26.467391304347824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BB McCullum,2957.3080859774823,100.0,3057.3080859774823,4807.221867616099,5025.060722828632,0.6084121674566568
125.0,116.0,13.0,2.0,8.0,107.75862068965519,15.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BB Samantray,195.8793103448276,100.0,295.87931034482756,523.5527665281462,433.1848810062838,0.6830324032951084
4.0,4.0,0.0,0.0,3.0,100.0,1.3333333333333333,312.0,420.0,14.0,14.0,52.0,8.076923076923077,30.0,BB Sran,54.0,363.8461538461538,417.8461538461538,484.53270957333086,497.29321704497846,0.8402410077681817
73.0,43.0,4.0,7.0,5.0,169.7674418604651,14.6,92.0,111.0,6.0,5.0,15.333333333333334,7.239130434782608,18.5,BCJ Cutting,175.88372093023256,205.52173913043478,381.40546006066734,651.788983208965,585.4733107428193,0.651448072973231
1.0,3.0,0.0,0.0,2.0,33.33333333333333,0.5,157.0,239.0,9.0,7.0,26.166666666666668,9.13375796178344,26.555555555555557,BE Hendricks,17.666666666666664,261.73248407643314,279.3991507430998,758.2062625442405,612.4919390921408,0.4561678822373337
18.0,11.0,2.0,1.0,1.0,163.63636363636365,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BJ Haddin,103.81818181818183,100.0,203.8181818181818,297.8283188743608,285.08793444106686,0.7149309290053976
1400.0,1153.0,122.0,43.0,63.0,121.42237640936686,22.22222222222222,238.0,310.0,17.0,20.0,39.666666666666664,7.815126050420169,18.235294117647058,BJ Hodge,1668.7111882046834,424.3697478991597,2093.080936103843,3484.595292996669,3240.0209391360263,0.6460084596434669
193.0,146.0,21.0,5.0,8.0,132.1917808219178,24.125,7.0,12.0,0.0,1.0,1.1666666666666667,10.285714285714285,12.0,BJ Rohrer,290.0958904109589,79.42857142857143,369.5244618395303,20.0,257.49062786329233,1.4350986865266386
23.0,27.0,0.0,0.0,3.0,85.18518518518519,7.666666666666667,30.0,36.0,1.0,2.0,5.0,7.2,36.0,BMAJ Mendis,65.5925925925926,105.6,171.19259259259258,438.00261262005347,247.50260545205526,0.6916799614287494
40.0,36.0,7.0,0.0,3.0,111.11111111111111,13.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BR Dunk,102.55555555555556,100.0,202.55555555555554,323.0255407926726,380.71865866545346,0.5320347478255484
0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,497.0,22.0,17.0,65.0,7.6461538461538465,22.59090909090909,BW Hilfenhaus,0.0,524.7076923076924,524.7076923076924,721.1361578811523,878.1101186733752,0.5975420179651345
156.0,99.0,9.0,8.0,14.0,157.57575757575756,11.142857142857142,336.0,450.0,14.0,21.0,56.0,8.035714285714286,32.142857142857146,Bipul Sharma,259.78787878787875,363.92857142857144,623.7164502164502,955.8061649721024,904.7282071293288,0.6893964897982797
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,0.0,1.0,1.0,13.0,13.0,C Ganapathy,0.0,74.0,74.0,20.0,242.04660375690963,0.30572624796801157
15.0,21.0,3.0,0.0,1.0,71.42857142857143,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C Madan,53.714285714285715,100.0,153.71428571428572,182.13799445706204,206.89159060564236,0.7429701964410999
30.0,31.0,3.0,0.0,3.0,96.7741935483871,10.0,12.0,15.0,0.0,2.0,2.0,7.5,15.0,C Munro,81.38709677419355,85.0,166.38709677419354,328.3171115065876,334.9253314962964,0.4967886305608791
0.0,1.0,0.0,0.0,1.0,0.0,0.0,50.0,58.0,2.0,3.0,8.333333333333334,6.959999999999999,29.0,C Nanda,0.0,126.08,126.08,514.9672649761594,240.65423727997927,0.523905173767281
21.0,26.0,2.0,0.0,3.0,80.76923076923077,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA Ingram,63.38461538461539,100.0,163.3846153846154,130.80828944655906,204.7921263143813,0.7978071145850585
89.0,85.0,6.0,4.0,5.0,104.70588235294119,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA Lynn,155.3529411764706,100.0,255.3529411764706,204.77209339277695,224.75225591899954,1.1361529615457988
390.0,403.0,50.0,4.0,22.0,96.7741935483871,17.727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA Pujara,496.38709677419354,100.0,596.3870967741935,783.9528495379982,886.8339004449981,0.6724901883824431
3451.0,2360.0,282.0,252.0,91.0,146.22881355932202,37.92307692307692,579.0,750.0,18.0,37.0,96.5,7.772020725388601,41.666666666666664,CH Gayle,4310.114406779661,444.4559585492228,4754.570365328884,7333.6841415030685,7176.348986334113,0.6625333264007909
285.0,178.0,18.0,17.0,20.0,160.1123595505618,14.25,853.0,1066.0,42.0,39.0,142.16666666666666,7.498241500586167,25.38095238095238,CH Morris,417.0561797752809,925.0035169988276,1342.0596967741085,2085.5728536375977,1972.641231996915,0.6803364316863307
379.0,284.0,32.0,21.0,15.0,133.45070422535213,25.266666666666666,138.0,221.0,5.0,11.0,23.0,9.608695652173912,44.2,CJ Anderson,519.7253521126761,180.7826086956522,700.5079608083283,933.9599863599753,935.5292276209723,0.7487825501611561
98.0,119.0,9.0,0.0,8.0,82.35294117647058,12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CJ Ferguson,148.1764705882353,100.0,248.1764705882353,485.4303214259032,427.290363622747,0.5808145741553613
3.0,4.0,0.0,0.0,1.0,75.0,3.0,181.0,266.0,11.0,9.0,30.166666666666668,8.817679558011049,24.181818181818183,CJ Jordan,40.5,302.3646408839779,342.8646408839779,535.7006973097461,586.7336351873727,0.5843616597410246
8.0,15.0,0.0,0.0,1.0,53.333333333333336,8.0,42.0,60.0,1.0,2.0,7.0,8.571428571428571,60.0,CJ McKay,34.66666666666667,102.85714285714286,137.52380952380952,419.853339123937,339.6038227065661,0.4049536557856613
